Here is the following output from running $jshint app.js, which is a singke file:
nodebb-plugin-anonymous-checkbox/library.js: line 96, col 8, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 96, col 16, 'for of' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 102, col 27, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/library.js: line 110, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
nodebb-plugin-anonymous-checkbox/library.js: line 113, col 3, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 114, col 8, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 114, col 16, 'for of' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 120, col 27, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/library.js: line 127, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
nodebb-plugin-anonymous-checkbox/library.js: line 129, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 129, col 3, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 132, col 17, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/library.js: line 137, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
nodebb-plugin-anonymous-checkbox/library.js: line 139, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 139, col 3, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 142, col 17, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/library.js: line 150, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
nodebb-plugin-anonymous-checkbox/library.js: line 152, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 152, col 3, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 154, col 38, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/library.js: line 171, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
nodebb-plugin-anonymous-checkbox/library.js: line 173, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 173, col 3, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 175, col 37, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/library.js: line 185, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
nodebb-plugin-anonymous-checkbox/library.js: line 187, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 187, col 3, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 189, col 37, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/library.js: line 203, col 11, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
nodebb-plugin-anonymous-checkbox/library.js: line 203, col 31, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
nodebb-plugin-anonymous-checkbox/library.js: line 203, col 53, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
nodebb-plugin-anonymous-checkbox/library.js: line 3, col 12, 'require' is not defined.
nodebb-plugin-anonymous-checkbox/library.js: line 10, col 27, 'process' is not defined.
nodebb-plugin-anonymous-checkbox/library.js: line 10, col 62, 'process' is not defined.
nodebb-plugin-anonymous-checkbox/library.js: line 23, col 3, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/library.js: line 44, col 3, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/library.js: line 55, col 5, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/library.js: line 61, col 3, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/library.js: line 74, col 5, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/library.js: line 102, col 15, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/library.js: line 120, col 15, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/library.js: line 132, col 5, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/library.js: line 142, col 5, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/library.js: line 235, col 1, 'module' is not defined.

nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 2, col 1, Use the function form of "use strict".
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 12, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 16, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 22, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 28, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 41, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 42, col 15, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 54, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 55, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 55, col 27, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 68, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 79, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 80, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 81, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 82, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 97, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 98, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 99, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 100, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 162, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 162, col 14, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 163, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 163, col 24, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 174, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 183, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 187, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 201, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 207, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 225, col 36, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 238, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/static/lib/composer-anonymous.js: line 239, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
